_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
092.015012700	+24.398978900	572-024353	092.0150127	+24.3989789	218	16.173	5	0			13.694	12.846					0	0	0	0	0	0	0	0	0
092.016348000	+24.393440000	572-024355	092.0163480	+24.3934400	50	14.448	0	0	-8.6	34.2	13.168	12.604	15.748	14.827	14.498	14.689	0	0	0	0	0	0	0	1	0
092.016603000	+24.386617000	572-024356	092.0166030	+24.3866170	50	11.945	0	0	-0.1	-4.6	11.399	11.279	12.127	11.880	11.912	12.525	3	1	0	1	1	0	0	1	0
092.022375600	+24.386195000	572-024362	092.0223756	+24.3861950	378	16.247	0	0	29.8	-16.0	14.529	14.178					0	0	0	0	0	0	0	3	0
092.022495900	+24.362837300	572-024363	092.0224959	+24.3628373	24	13.288	0	0	-4.5	-3.9	12.637	12.479	13.656	13.334	13.319	13.879	0	1	0	0	1	0	0	1	0
092.023779200	+24.371602000	572-024365	092.0237792	+24.3716020	37	14.231	0	0	-3.5	-2.6	12.482	11.796					0	0	0	0	1	0	0	1	0
092.025490000	+24.374732300	572-024367	092.0254900	+24.3747323	128	13.588	0	0	4.7	-0.9	11.844	11.148	15.077	13.950	13.553	13.139	0	0	0	0	1	0	0	1	0
092.025818000	+24.377272800	572-024368	092.0258180	+24.3772728	87	14.707	5	0			13.573	13.148					0	0	0	0	0	0	0	0	0
092.026604800	+24.386638100	572-024370	092.0266048	+24.3866381	39	14.387	0	0	21.7	-4.6	13.022	12.490	15.473	14.675	14.337	14.651	0	0	0	0	0	0	0	1	0
092.026670600	+24.396053100	572-024371	092.0266706	+24.3960531	61	14.246	0	0	-6.6	-5.0	13.189	12.905					0	0	0	0	1	0	0	1	0
092.028463300	+24.391645000	572-024372	092.0284633	+24.3916450	97	15.112	0	0	5.3	-5.7	14.272	13.862					0	0	0	0	0	0	0	1	0
092.030892400	+24.365335600	572-024375	092.0308924	+24.3653356	53	14.912	0	0	3.2	-6.4	12.988	12.221	16.558	15.415	14.817		0	0	0	0	0	0	0	3	0
092.031295600	+24.394830900	572-024376	092.0312956	+24.3948309	83	13.694	0	0	3.3	-1.9	12.667	12.336					0	0	0	0	1	0	0	1	0
