 	Label	slice	Saturated	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	Source-Sky_T1	N_Src_Pixels_T1	Source_AMag_T1	Peak_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	Source-Sky_C2	Source_AMag_C2	Peak_C2	FWHM_C2	Width_C2
1		1.000000	0.000000	2458913.523595	2458913.524290	2458913.524804	NaN	-1.000000	-12.950153	-1.855165	120.000000	5.201183	33.963067	19.311713	0.651383	0.000000	0.004173	0.000000	2550216.205030	3020.225037	11.965409	21483.000000	6576.000000	19.800843	19.871382	3915079.916951	11.500000	25432.000000	18.822582	18.828137
2		2.000000	0.000000	2458913.530288	2458913.530982	2458913.531495	NaN	-1.000000	-12.876720	-1.855165	120.000000	5.201152	33.963361	30.918393	0.640267	0.000000	0.003729	0.000000	2552201.783555	3423.664224	11.984098	16312.000000	6463.000000	21.570453	21.551585	3986155.095627	11.500000	19912.000000	20.954619	20.901601
3		3.000000	0.000000	2458913.533775	2458913.534469	2458913.534982	NaN	-1.000000	-12.813352	-1.881263	120.000000	5.201128	33.963578	38.170635	0.638231	0.000000	0.003600	0.000000	2546216.450784	3422.896049	11.987556	15049.000000	6540.000000	22.923179	22.882567	3989492.747186	11.500000	17859.000000	22.499699	22.499047
4		4.000000	0.000000	2458913.537264	2458913.537958	2458913.538471	NaN	-1.000000	-12.732847	-1.802962	120.000000	5.201104	33.963789	42.511840	0.631244	0.000000	0.003742	0.000000	2536222.116886	3741.338422	11.999506	14500.000000	6352.000000	23.762036	23.708869	4017812.834387	11.500000	17335.000000	23.091008	23.159200
5		5.000000	0.000000	2458913.540752	2458913.541446	2458913.541958	NaN	-1.000000	-12.635307	-1.802962	120.000000	5.201079	33.963994	44.949188	0.635647	0.000000	0.003883	0.000000	2528448.515916	3960.760767	11.991959	14133.000000	6396.000000	24.054507	24.099080	3977753.589526	11.500000	16773.000000	23.332029	23.309441
6		6.000000	0.000000	2458913.544240	2458913.544935	2458913.545446	NaN	-1.000000	-12.520775	-1.802962	120.000000	5.201054	33.964194	46.404050	0.628223	0.000000	0.003809	0.000000	2511581.137402	3849.286117	12.004716	14219.000000	6438.000000	24.159457	24.132352	3997916.065268	11.500000	17462.000000	23.699455	23.681214
7		7.000000	0.000000	2458913.548073	2458913.548768	2458913.549279	NaN	-1.000000	-12.375422	-1.855165	120.000000	5.201027	33.964408	47.907729	0.625529	0.000000	0.005350	0.000000	1963670.323194	3419.517384	12.009382	18254.000000	6327.000000	24.975779	24.969165	3139217.089087	11.500000	20420.000000	24.435629	24.434157
8		8.000000	0.000000	2458913.551563	2458913.552257	2458913.552768	NaN	-1.000000	-12.225459	-1.802962	120.000000	5.201001	33.964597	48.038512	0.614516	0.000000	0.006060	0.000000	1778323.321730	3420.348415	12.028667	19456.000000	6471.000000	24.367910	24.363233	2893861.205757	11.500000	21462.000000	23.801385	23.841809
9		9.000000	0.000000	2458913.555049	2458913.555744	2458913.556254	NaN	-1.000000	-12.058898	-1.802962	120.000000	5.200976	33.964781	48.952696	0.626895	0.000000	0.013302	0.000000	997201.573280	3219.776197	12.007012	28136.000000	6439.000000	25.610553	25.552844	1590698.707055	11.500000	29329.000000	24.256327	24.185867
10		10.000000	0.000000	2458913.558538	2458913.559233	2458913.559743	NaN	-1.000000	-11.875647	-1.881263	120.000000	5.200949	33.964958	50.124561	0.613517	0.000000	0.011302	0.000000	1144120.677314	3422.726640	12.030434	26064.000000	6471.000000	26.393199	26.028623	1864856.716026	11.500000	27373.000000	24.903226	24.956556
