X0	Y0	X1	Y1	X2	Y2	X3	Y3
69.8064	895.0000	0.7217	1681.2500	0	1688.5000	74	-776.0182
69.1035	922.0000	1.6252	1638.6666	42	1688.5000	74	1688.5000
68.4079	778.0000	2.5704	1688.5000	42	-776.0182	111	1688.5000
67.7200	726.0000	3.5532	1560.5909			111	-776.0182
67.0399	754.0000	4.5592	1492.6552				
66.3679	798.0000	5.5576	1439.4857				
65.7043	798.0000	6.5511	1389.6000				
65.0493	710.0000	7.5430	1382.3334				
64.4031	661.0000	8.5333	1313.1538				
63.7661	907.0000	9.5448	1325.9683				
63.1385	664.0000	10.5623	1246.8334				
62.5205	675.0000	11.5483	1219.7000				
61.9126	675.0000	12.5352	1200.0375				
61.3150	565.0000	13.5314	1173.9760				
60.7279	923.0000	14.5258	1104.7609				
60.1517	640.0000	15.5233	1121.8041				
59.5868	717.0000	16.5170	1058.9902				
59.0333	465.0000	17.5252	1082.3218				
58.4918	734.0000	18.5351	1046.3363				
57.9624	968.0000	19.5223	1013.3171				
57.4456	943.0000	20.5106	1012.8016				
56.9416	663.0000	21.5170	966.6403				
56.4508	968.0000	22.5312	967.2098				
55.9737	623.0000	23.5304	939.2483				
55.5104	795.0000	24.5285	938.0892				
55.0614	896.0000	25.5245	931.9359				
54.6270	761.0000	26.5106	909.3434				
54.2076	747.0000	27.5203	911.9157				
53.8035	491.0000	28.5298	881.1932				
53.4150	533.0000	29.5171	892.3243				
53.0426	590.0000	30.5165	857.1823				
52.6865	1057.0000	31.5181	858.4949				
52.3472	573.0000	32.5132	846.6503				
52.0248	975.0000	33.5123	866.1619				
51.7197	800.0000	34.5207	834.1031				
51.4323	513.0000	35.5299	832.8364				
51.1628	584.0000	36.5208	843.8297				
50.9116	659.0000	37.5161	824.9274				
50.6788	714.0000	38.5180	820.7705				
50.4648	544.0000	39.5133	806.1469				
50.2697	707.0000	40.5160	808.2791				
50.0939	737.0000	41.5190	794.3154				
49.9375	966.0000	42.5139	776.6113				
49.8006	929.0000	43.5184	779.9101				
49.6836	734.0000	44.5189	791.0761				
49.5864	751.0000	45.5120	763.3380				
49.5092	649.0000	46.5090	785.2925				
49.4521	871.0000	47.5102	774.9495				
49.4153	933.0000	48.4934	787.1579				
49.3986	951.0000						
49.4021	711.0000						
49.4260	779.0000						
49.4700	914.0000						
49.5341	564.0000						
49.6184	941.0000						
49.7226	887.0000						
49.8466	682.0000						
49.9904	669.0000						
50.1537	685.0000						
50.3363	817.0000						
50.5381	981.0000						
50.7588	591.0000						
50.9981	721.0000						
51.2558	532.0000						
51.5316	499.0000						
51.8253	731.0000						
52.1365	865.0000						
52.4649	571.0000						
52.8102	1015.0000						
53.1721	646.0000						
53.5502	798.0000						
53.9442	921.0000						
54.3538	984.0000						
54.7785	707.0000						
55.2181	1052.0000						
55.6722	716.0000						
56.1404	664.0000						
56.6224	843.0000						
57.1178	839.0000						
57.6264	639.0000						
58.1477	602.0000						
58.6814	810.0000						
59.2272	712.0000						
59.7847	945.0000						
60.3536	534.0000						
60.9337	766.0000						
61.5245	720.0000						
62.1258	755.0000						
62.7373	828.0000						
63.3587	639.0000						
63.9897	758.0000						
64.6300	868.0000						
65.2793	507.0000						
65.9374	869.0000						
66.6040	737.0000						
67.2788	872.0000						
67.9617	489.0000						
68.6524	658.0000						
69.3506	831.0000						
69.1024	716.0000						
68.3922	611.0000						
67.6894	737.0000						
66.9940	1086.0000						
66.3065	586.0000						
65.6270	717.0000						
64.9558	567.0000						
64.2932	726.0000						
63.6393	838.0000						
62.9946	632.0000						
62.3592	750.0000						
61.7335	802.0000						
61.1177	650.0000						
60.5122	800.0000						
59.9173	822.0000						
59.3332	990.0000						
58.7604	725.0000						
58.1991	736.0000						
57.6497	876.0000						
57.1126	843.0000						
56.5880	1083.0000						
56.0763	794.0000						
55.5779	777.0000						
55.0932	897.0000						
54.6224	703.0000						
54.1660	433.0000						
53.7244	992.0000						
53.2979	825.0000						
52.8868	626.0000						
52.4916	1035.0000						
52.1126	755.0000						
51.7501	931.0000						
51.4046	803.0000						
51.0762	705.0000						
50.7655	873.0000						
50.4726	689.0000						
50.1980	605.0000						
49.9419	875.0000						
49.7046	412.0000						
49.4863	793.0000						
49.2874	829.0000						
49.1081	795.0000						
48.9485	769.0000						
48.8089	852.0000						
48.6894	741.0000						
48.5903	942.0000						
48.5115	706.0000						
48.4533	896.0000						
48.4156	807.0000						
48.3986	652.0000						
48.4022	800.0000						
48.4265	590.0000						
48.4715	1124.0000						
48.5369	699.0000						
48.6229	707.0000						
48.7293	777.0000						
48.8558	890.0000						
49.0025	630.0000						
49.1691	667.0000						
49.3554	1087.0000						
49.5611	924.0000						
49.7861	818.0000						
50.0301	1071.0000						
50.2928	659.0000						
50.5739	766.0000						
50.8731	732.0000						
51.1900	618.0000						
51.5245	666.0000						
51.8761	785.0000						
52.2444	799.0000						
52.6292	523.0000						
53.0300	890.0000						
53.4466	896.0000						
53.8785	703.0000						
54.3253	710.0000						
54.7868	712.0000						
55.2625	661.0000						
55.7521	634.0000						
56.2552	744.0000						
56.7715	750.0000						
57.3006	728.0000						
57.8421	502.0000						
58.3957	877.0000						
58.9611	586.0000						
59.5380	778.0000						
60.1259	804.0000						
60.7246	616.0000						
61.3337	856.0000						
61.9530	784.0000						
62.5822	431.0000						
63.2209	789.0000						
63.8689	727.0000						
64.5259	838.0000						
65.1916	635.0000						
65.8657	484.0000						
66.5481	883.0000						
67.2384	635.0000						
67.9364	282.0000						
68.6419	695.0000						
68.4058	930.0000						
67.6883	710.0000						
66.9780	604.0000						
66.2752	999.0000						
65.5802	617.0000						
64.8931	989.0000						
64.2142	788.0000						
63.5438	715.0000						
62.8822	687.0000						
62.2296	441.0000						
61.5863	879.0000						
60.9527	617.0000						
60.3289	668.0000						
59.7154	897.0000						
59.1125	768.0000						
58.5204	1022.0000						
57.9396	867.0000						
57.3702	831.0000						
56.8128	887.0000						
56.2677	585.0000						
55.7351	901.0000						
55.2155	786.0000						
54.7093	740.0000						
54.2168	497.0000						
53.7384	701.0000						
53.2744	812.0000						
52.8254	606.0000						
52.3915	622.0000						
51.9733	955.0000						
51.5711	793.0000						
51.1852	537.0000						
50.8162	996.0000						
50.4642	705.0000						
50.1297	766.0000						
49.8130	919.0000						
49.5146	746.0000						
49.2346	733.0000						
48.9734	656.0000						
48.7314	982.0000						
48.5088	564.0000						
48.3059	797.0000						
48.1228	601.0000						
47.9600	1012.0000						
47.8175	969.0000						
47.6956	473.0000						
47.5943	401.0000						
47.5139	849.0000						
47.4544	609.0000						
47.4160	659.0000						
47.3986	554.0000						
47.4023	651.0000						
47.4272	901.0000						
47.4730	846.0000						
47.5399	891.0000						
47.6276	878.0000						
47.7362	825.0000						
47.8654	1026.0000						
48.0151	920.0000						
48.1851	764.0000						
48.3752	798.0000						
48.5851	950.0000						
48.8146	641.0000						
49.0634	679.0000						
49.3312	849.0000						
49.6177	851.0000						
49.9227	852.0000						
50.2456	943.0000						
50.5863	691.0000						
50.9444	996.0000						
51.3194	894.0000						
51.7111	994.0000						
52.1190	585.0000						
52.5428	694.0000						
52.9820	654.0000						
53.4364	821.0000						
53.9055	657.0000						
54.3889	744.0000						
54.8863	797.0000						
55.3973	622.0000						
